pred,label
149,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
395,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
777,0
126,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
115,1
1,1
1,1
1,1
669,1
1,1
29,1
29,1
1,1
1,1
29,1
26,1
29,1
1,1
1,1
1,1
1,1
1,1
29,1
892,1
29,1
1,1
925,1
58,1
29,1
1,1
1,1
1,1
1,1
1,1
29,1
1,1
1,1
29,1
1,1
1,1
1,1
29,1
1,1
1,1
1,1
815,1
1,1
29,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
2,2
3,2
2,2
3,2
3,2
2,2
148,2
2,2
2,2
2,2
2,2
884,2
2,2
2,2
2,2
2,2
3,2
3,2
2,2
2,2
2,2
3,2
2,2
2,2
2,2
2,2
149,2
2,2
149,2
3,2
2,2
921,2
2,2
29,2
2,2
2,2
149,2
2,2
394,2
2,2
2,2
2,2
3,2
2,2
3,2
3,2
5,2
2,2
2,2
3,3
3,3
3,3
3,3
3,3
3,3
3,3
983,3
983,3
3,3
3,3
3,3
3,3
3,3
147,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
147,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,4
3,4
4,4
3,4
4,4
4,4
3,4
4,4
394,4
4,4
4,4
3,4
4,4
4,4
4,4
4,4
4,4
739,4
4,4
713,4
3,4
2,4
4,4
4,4
3,4
753,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
3,4
3,4
792,4
4,4
4,4
815,4
4,4
4,4
4,4
974,4
973,4
4,4
574,4
4,4
3,4
5,5
5,5
5,5
149,5
5,5
5,5
149,5
5,5
5,5
5,5
29,5
5,5
365,5
6,5
6,5
5,5
5,5
5,5
6,5
5,5
5,5
3,5
5,5
3,5
5,5
111,5
5,5
5,5
3,5
5,5
5,5
78,5
5,5
5,5
5,5
5,5
5,5
5,5
5,5
973,5
5,5
5,5
5,5
3,5
394,5
5,5
5,5
5,5
5,5
5,5
6,6
5,6
6,6
6,6
6,6
876,6
6,6
5,6
149,6
868,6
6,6
149,6
601,6
5,6
5,6
842,6
6,6
6,6
5,6
6,6
6,6
6,6
5,6
149,6
980,6
5,6
5,6
6,6
5,6
5,6
793,6
5,6
4,6
973,6
5,6
6,6
6,6
6,6
5,6
5,6
149,6
830,6
6,6
6,6
3,6
977,6
5,6
5,6
6,6
6,6
8,7
8,7
7,7
7,7
832,7
8,7
8,7
7,7
8,7
981,7
7,7
7,7
870,7
8,7
7,7
80,7
7,7
8,7
102,7
7,7
7,7
8,7
7,7
7,7
7,7
8,7
8,7
7,7
8,7
7,7
7,7
7,7
7,7
83,7
150,7
8,7
7,7
7,7
7,7
7,7
7,7
7,7
7,7
8,7
7,7
7,7
1,7
7,7
8,7
7,7
8,8
8,8
8,8
579,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
755,8
86,8
8,8
8,8
137,8
8,8
8,8
8,8
467,8
469,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
8,8
912,8
8,8
8,8
332,8
8,8
334,8
8,8
337,8
8,8
8,8
8,8
8,8
8,8
8,8
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
138,9
138,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
351,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
9,9
10,10
10,10
10,10
10,10
10,10
10,10
858,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
13,10
10,10
10,10
10,10
10,10
10,10
86,10
794,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
82,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
86,10
10,10
10,10
415,10
10,10
10,10
11,11
11,11
11,11
11,11
11,11
11,11
336,11
11,11
11,11
11,11
883,11
708,11
10,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
11,11
10,11
11,11
11,11
11,11
11,11
10,11
11,11
11,11
11,11
11,11
11,11
11,11
392,11
11,11
11,11
10,11
16,11
11,11
11,11
11,11
11,11
11,11
11,11
10,11
11,11
11,11
11,11
11,11
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
94,12
12,12
12,12
12,12
82,12
86,12
95,12
12,12
438,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
12,12
19,12
12,12
12,12
140,12
12,12
12,12
12,12
12,12
86,12
12,12
807,12
12,12
10,12
12,12
15,12
12,12
12,12
12,12
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
82,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
10,13
13,13
12,13
13,13
13,13
13,13
13,13
13,13
13,13
20,13
13,13
13,13
13,13
13,13
995,13
995,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
13,13
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
998,14
14,14
14,14
376,14
14,14
14,14
14,14
14,14
17,14
85,14
14,14
14,14
21,14
494,14
14,14
14,14
22,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
14,14
15,15
15,15
15,15
10,15
15,15
15,15
975,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
16,15
15,15
15,15
15,15
708,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
13,15
728,15
15,15
23,15
86,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
15,15
10,15
20,15
15,15
15,15
86,15
728,15
15,15
15,15
15,15
16,16
16,16
16,16
16,16
85,16
374,16
16,16
16,16
16,16
95,16
16,16
883,16
16,16
91,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
16,16
82,16
16,16
16,16
16,16
16,16
12,16
16,16
16,16
16,16
16,16
16,16
20,16
16,16
16,16
91,16
21,16
16,16
95,16
21,16
16,16
10,16
16,16
16,16
16,16
16,16
16,16
58,17
17,17
17,17
17,17
16,17
17,17
17,17
85,17
34,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
85,17
17,17
20,17
17,17
10,17
20,17
17,17
17,17
81,17
17,17
17,17
95,17
17,17
17,17
17,17
17,17
95,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
17,17
18,18
18,18
18,18
18,18
18,18
18,18
18,18
82,18
80,18
80,18
18,18
80,18
18,18
20,18
18,18
80,18
971,18
18,18
18,18
18,18
18,18
17,18
18,18
18,18
18,18
8,18
18,18
18,18
18,18
18,18
18,18
18,18
794,18
18,18
18,18
807,18
18,18
18,18
43,18
18,18
18,18
80,18
20,18
353,18
16,18
20,18
128,18
86,18
18,18
18,18
19,19
19,19
364,19
13,19
19,19
19,19
19,19
19,19
94,19
19,19
81,19
19,19
17,19
19,19
19,19
19,19
13,19
19,19
19,19
19,19
19,19
19,19
19,19
316,19
19,19
19,19
19,19
19,19
19,19
19,19
666,19
94,19
20,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
19,19
17,19
19,19
19,19
13,19
19,19
19,19
19,19
19,19
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
974,20
20,20
20,20
95,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
140,20
20,20
20,20
20,20
979,20
20,20
20,20
95,20
20,20
20,20
20,20
103,20
20,20
20,20
979,20
20,20
10,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
20,20
460,20
89,20
89,21
21,21
21,21
21,21
132,21
160,21
135,21
22,21
21,21
489,21
374,21
21,21
21,21
21,21
80,21
146,21
83,21
22,21
21,21
21,21
21,21
146,21
345,21
134,21
21,21
